연도코드,시도명,시군구코드,사고위험지역명,사고위험지역id,총사고건수,총사망자수,총중상자수,총경상자수,사고분석유형명,반경내카메라수,반경내과속카메라,반경내신호카메라,카메라효과비율,cluster,군집라벨
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36123,15,0,8,13,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36124,26,0,7,24,U턴중 / 기타 / 신호위반 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36125,14,0,8,10,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36126,13,1,9,7,기타 / 안전거리미확보,0,0,0,50.0,1,사망위험 (사망사고 집중)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36127,22,0,6,18,신호위반 / 기타 / U턴중 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36128,18,1,5,20,기타 / 안전거리미확보,0,0,0,50.0,1,사망위험 (사망사고 집중)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36129,35,1,11,25,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36130,19,1,6,20,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,1,사망위험 (사망사고 집중)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36131,32,0,9,25,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,2,사고다발 (사고多+중상多)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36132,17,0,4,12,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36134,18,0,5,17,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36135,12,0,5,7,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36136,15,0,9,9,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36137,32,0,10,18,U턴중 / 기타 / 안전거리미확보,1,0,1,33.33333333333333,3,과잉 (카메라多 사고少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36138,20,0,5,22,U턴중 / 안전거리미확보 / 신호위반 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36139,25,0,6,16,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36140,18,0,6,18,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36141,27,0,5,21,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36142,21,0,9,19,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36143,38,0,12,44,기타 / 안전거리미확보,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36144,31,0,14,27,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,2,사고다발 (사고多+중상多)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36145,15,0,8,13,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11260,서울특별시 중랑구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36146,23,0,13,24,안전거리미확보 / U턴중 / 기타,1,0,1,33.33333333333333,2,사고다발 (사고多+중상多)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36148,19,0,8,14,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36149,24,0,12,20,신호위반 / 기타 / 안전거리미확보,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36150,19,0,1,26,안전거리미확보 / U턴중 / 기타,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36151,28,0,6,26,안전거리미확보 / 신호위반 / 기타,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36152,16,0,7,9,안전거리미확보 / 기타 / U턴중 / 신호위반,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36153,13,0,6,8,안전거리미확보 / 보행자보호위반 / 신호위반 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36154,23,1,11,19,U턴중 / 신호위반 / 안전거리미확보 / 기타,0,0,0,50.0,1,사망위험 (사망사고 집중)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36155,23,0,9,26,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36156,36,1,14,33,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36157,49,0,16,68,안전거리미확보 / 신호위반 / 기타 / U턴중,1,0,1,50.0,2,사고다발 (사고多+중상多)
2017,서울,11290,서울특별시 성북구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36158,43,0,10,51,안전거리미확보 / 기타,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36160,45,0,13,41,기타 / 안전거리미확보,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36161,43,0,13,65,안전거리미확보 / 기타 / U턴중 / 신호위반,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36162,10,0,3,9,기타 / 신호위반,2,2,0,50.0,3,과잉 (카메라多 사고少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36163,25,0,9,24,기타 / 과속 / 안전거리미확보,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36164,11,0,4,13,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36165,18,0,5,17,안전거리미확보 / 기타 / U턴중,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36166,12,0,5,12,신호위반 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36167,29,0,11,21,신호위반 / 안전거리미확보 / 기타 / U턴중,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36168,18,0,7,11,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36169,21,0,5,31,신호위반 / 안전거리미확보 / 기타,0,0,0,66.66666666666666,0,부족 (카메라少)
